[1] 2015-09-06


@@@@@@@@@@@@@@@@@@@
 POSTERIOR SUMMARY 
@@@@@@@@@@@@@@@@@@@@@

$summary
                     mean   se_mean      sd        2.5%          25%         50%         75%
  beta_raw[1,2]     4.21425 0.10531     4.00538     4.144265     4.21607     4.28250     4.43072
  beta_raw[1,3]     1.18117 0.34716     0.45347     0.963512     1.20217     1.43050     1.81911
  beta_raw[1,4]     1.89411 0.24418     1.42548     1.741040     1.89084     2.05692     2.35492
  beta_raw[1,5]     1.43884 0.19256     1.06844     1.301763     1.43238     1.57971     1.79484
  beta_raw[1,6]     0.11264 0.10832    -0.09281     0.038190     0.11198     0.18710     0.32952
  beta_raw[1,7]     0.08055 0.10190    -0.10959     0.016483     0.08006     0.14137     0.28602
  beta_raw[1,8]     0.41154 0.13791     0.16602     0.321564     0.40766     0.50548     0.68031
  beta_raw[1,9]     0.01548 0.00307     0.00945     0.013534     0.01548     0.01744     0.02168
  beta_raw[2,1]    -4.17207 0.27287    -4.70781    -4.341874    -4.17387    -3.99660    -3.65122
  beta_raw[2,2]     0.59568 0.36374    -0.15652     0.359371     0.62121     0.82384     1.25096
  beta_raw[2,3]     6.04469 0.18774     5.66742     5.913153     6.05681     6.17594     6.38880
  beta_raw[2,4]     2.07606 0.35142     1.34834     1.864570     2.08344     2.30828     2.71547
  beta_raw[2,5]     2.84544 0.19218     2.44864     2.721308     2.85010     2.97334     3.22929
  beta_raw[2,6]     0.10542 0.13849    -0.18333     0.012884     0.10547     0.20354     0.37035
  beta_raw[2,7]     0.27472 0.13357     0.01642     0.190736     0.27357     0.35573     0.55236
  beta_raw[2,8]    -0.11520 0.15895    -0.42769    -0.229081    -0.10889    -0.00830     0.20728
  beta_raw[2,9]     0.00454 0.00437    -0.00497     0.001792     0.00473     0.00726     0.01279
  beta_raw[3,1]    -4.28944 0.25220    -4.79568    -4.454354    -4.27879    -4.13455    -3.81429
  beta_raw[3,2]     1.75206 0.24910     1.29603     1.576072     1.76451     1.91351     2.24531
  beta_raw[3,3]     1.81206 0.49477     0.76616     1.498861     1.85110     2.14836     2.65962
  beta_raw[3,4]     7.24772 0.19260     6.86805     7.115950     7.24118     7.37431     7.61922
  beta_raw[3,5]     3.09020 0.19267     2.71438     2.969409     3.08983     3.21092     3.45346
  beta_raw[3,6]     0.03563 0.13084    -0.22363    -0.057637     0.03901     0.12454     0.30065
  beta_raw[3,7]     0.09044 0.12139    -0.13444     0.014298     0.08686     0.17425     0.33385
  beta_raw[3,8]     0.13724 0.15141    -0.16301     0.032734     0.13804     0.23960     0.42267
  beta_raw[3,9]     0.00264 0.00355    -0.00518     0.000512     0.00279     0.00486     0.00941
  beta_raw[4,1]    -1.91051 0.17233    -2.23069    -2.022150    -1.91076    -1.79572    -1.56234
  beta_raw[4,2]     1.31127 0.16976     0.99770     1.192568     1.30323     1.42302     1.64785
  beta_raw[4,3]     3.22475 0.17892     2.89260     3.096707     3.23195     3.33836     3.56733
  beta_raw[4,4]     2.95683 0.17285     2.62699     2.840071     2.96216     3.07398     3.29179
  beta_raw[4,5]     4.27059 0.11101     4.03961     4.199031     4.27175     4.34363     4.48296
  beta_raw[4,6]    -0.37550 0.10010    -0.56562    -0.448037    -0.37323    -0.30935    -0.18869
  beta_raw[4,7]    -0.22158 0.09048    -0.39494    -0.280842    -0.22560    -0.16469    -0.03809
  beta_raw[4,8]     0.43476 0.10387     0.25002     0.364206     0.43030     0.50229     0.64024
  beta_raw[4,9]    -0.01547 0.00282    -0.02092    -0.017290    -0.01537    -0.01381    -0.00970
